Query	Dates range	Impressions	Clicks	CTR %	Avg. position	Avg. click position	Impressions for 1st position	Clicks from pos. 1	CTR % for pos. 1	Impressions for pos. 2-3	Clicks from pos. 2-3	CTR % for pos. 2-3	Avg. impression position for pos. 2-3	Avg. click position from pos. 2-3	Impressions for pos. 4-10	Clicks from pos. 4-10	CTR % for pos. 4-10	Avg. impression position for pos. 4-10	Avg. click position from pos. 4-10	Impressions for pos. 11-50	Clicks from pos. 11-50	CTR % for pos. 11-50	Avg. impression position for pos. 11-50	Avg. click position from pos. 11-50
буюк ипак йули	2025-01-01 - 2025-10-15	32	0	0	11,46875		0	0		0	0				8	0	0	9,75		24	0	0	12,04166667	
старый ташми	2025-01-01 - 2025-10-15	32	3	9,375	5,25	4	2	1	50	5	0	0	3		25	2	8	6,04	5,5	0	0			
музей восковых фигур ташкент	2025-01-01 - 2025-10-15	32	0	0	10,46875		0	0		0	0				14	0	0	9,071428571		18	0	0	11,55555556	
бунёдкор (стадион)	2025-01-01 - 2025-10-15	31	0	0	11		0	0		0	0				10	0	0	9,1		21	0	0	11,9047619	
ishonch savdo markazi	2025-01-01 - 2025-10-15	31	0	0	12,96774194		0	0		0	0				3	0	0	10		28	0	0	13,28571429	
кукча мечеть в ташкенте	2025-01-01 - 2025-10-15	31	2	6,451612903	8	8	0	0		0	0				28	2	7,142857143	7,607142857	8	3	0	0	11,66666667	
uzbum	2025-01-01 - 2025-10-15	31	0	0	5,870967742		0	0		1	0	0	3		29	0	0	5,793103448		1	0	0	11	
водопад нанай	2025-01-01 - 2025-10-15	31	2	6,451612903	7,612903226	7,5	0	0		0	0				29	2	6,896551724	7,344827586	7,5	2	0	0	11,5	
монетный двор ташкент	2025-01-01 - 2025-10-15	30	1	3,333333333	9,766666667	7	0	0		0	0				19	1	5,263157895	8,631578947	7	11	0	0	11,72727273	
ривьера тц ташкент	2025-01-01 - 2025-10-15	30	1	3,333333333	9,533333333	11	0	0		0	0				19	0	0	8,631578947		11	1	9,090909091	11,09090909	11
маристелла	2025-01-01 - 2025-10-15	30	0	0	6,666666667		0	0		0	0				30	0	0	6,666666667		0	0			
улица нукусская в ташкенте	2025-01-01 - 2025-10-15	29	1	3,448275862	4,551724138	4	0	0		3	0	0	3		26	1	3,846153846	4,730769231	4	0	0			
ташкент вид сверху	2025-01-01 - 2025-10-15	29	6	20,68965517	5,931034483	6	0	0		2	0	0	3		27	6	22,22222222	6,148148148	6	0	0			
nbu	2025-01-01 - 2025-10-15	29	0	0	9,896551724		0	0		0	0				18	0	0	8,277777778		11	0	0	12,54545455	
махтумкули улица	2025-01-01 - 2025-10-15	28	0	0	7		0	0		0	0				26	0	0	6,653846154		2	0	0	11,5	
toshkent	2025-01-01 - 2025-10-15	28	0	0	7,714285714		0	0		0	0				28	0	0	7,714285714		0	0			
хонобод сихатгохи	2025-01-01 - 2025-10-15	28	1	3,571428571	8,464285714	9	0	0		0	0				26	1	3,846153846	8,230769231	9	2	0	0	11,5	
тузель ташкент	2025-01-01 - 2025-10-15	27	1	3,703703704	4,407407407	2	0	0		8	1	12,5	2,5	2	19	0	0	5,210526316		0	0			
uz pano ru	2025-01-01 - 2025-10-15	27	1	3,703703704	4,407407407	4	0	0		5	0	0	2,8		22	1	4,545454545	4,772727273	4	0	0			
зохид кебаб в ташкенте	2025-01-01 - 2025-10-15	27	1	3,703703704	10,2962963	8	0	0		0	0				14	1	7,142857143	8,928571429	8	13	0	0	11,76923077	
тц ривьера в ташкенте	2025-01-01 - 2025-10-15	27	0	0	10,14814815		0	0		0	0				14	0	0	9		13	0	0	11,38461538	
наманган аэропорт навигатор	2025-01-01 - 2025-10-15	27	0	0	11,14814815		0	0		0	0				6	0	0	9,333333333		21	0	0	11,66666667	
ташкент панорама	2025-01-01 - 2025-10-15	27	8	29,62962963	3	2,125	0	0		23	8	34,7826087	2,52173913	2,125	4	0	0	5,75		0	0			
анор кафе маргилан	2025-01-01 - 2025-10-15	27	0	0	8,592592593		0	0		0	0				26	0	0	8,5		1	0	0	11	
3д карта узбекистан	2025-01-01 - 2025-10-15	27	5	18,51851852	3,333333333	3,6	0	0		17	2	11,76470588	2,588235294	3	10	3	30	4,6	4	0	0			
цум ташкент	2025-01-01 - 2025-10-15	27	0	0	10,88888889		0	0		0	0				10	0	0	8,8		17	0	0	12,11764706	
дворец международных форумов ташкент	2025-01-01 - 2025-10-15	26	2	7,692307692	9,730769231	9,5	0	0		0	0				19	2	10,52631579	9,105263158	9,5	7	0	0	11,42857143	
торговый центр ривьера в ташкенте	2025-01-01 - 2025-10-15	26	2	7,692307692	9,115384615	8,5	0	0		0	0				21	2	9,523809524	8,571428571	8,5	5	0	0	11,4	
международный аэропорт наманган наманган, международный аэропорт наманган фото	2025-01-01 - 2025-10-15	26	0	0	10,30769231		0	0		0	0				15	0	0	9,266666667		11	0	0	11,72727273	
uzparn	2025-01-01 - 2025-10-15	26	0	0	10,19230769		0	0		0	0				16	0	0	9,1875		10	0	0	11,8	
ц-1 ташкент	2025-01-01 - 2025-10-15	26	0	0	6,846153846		0	0		0	0				25	0	0	6,56		1	0	0	14	
3d karta uzbekistan	2025-01-01 - 2025-10-15	26	1	3,846153846	3,923076923	5	1	0	0	10	0	0	2,4		15	1	6,666666667	5,133333333	5	0	0			
hadra	2025-01-01 - 2025-10-15	26	0	0	9,423076923		0	0		2	0	0	2,5		9	0	0	7,777777778		15	0	0	11,33333333	
rivera mall	2025-01-01 - 2025-10-15	25	0	0	8,12		0	0		0	0				25	0	0	8,12		0	0			
байналминал	2025-01-01 - 2025-10-15	25	0	0	4,76		0	0		0	0				25	0	0	4,76		0	0			
gold step invest ташкент	2025-01-01 - 2025-10-15	25	0	0	10,92		0	0		0	0				8	0	0	8,875		17	0	0	11,88235294	
print uz	2025-01-01 - 2025-10-15	25	0	0	11		0	0		0	0				6	0	0	9,833333333		19	0	0	11,36842105	
дворец авиастроителей в ташкенте	2025-01-01 - 2025-10-15	25	0	0	6,32		0	0		0	0				25	0	0	6,32		0	0			
the бани ташкент	2025-01-01 - 2025-10-15	24	0	0	9,5		0	0		0	0				19	0	0	9,052631579		5	0	0	11,2	
шахристанская	2025-01-01 - 2025-10-15	24	0	0	7		0	0		0	0				24	0	0	7		0	0			
улица амира темура	2025-01-01 - 2025-10-15	24	1	4,166666667	4,25	4	0	0		6	0	0	3		18	1	5,555555556	4,666666667	4	0	0			
улица алишера навои	2025-01-01 - 2025-10-15	24	0	0	7,5		0	0		1	0	0	2		21	0	0	7,333333333		2	0	0	12	
ташкент улица бухара 26а toshkent gullari	2025-01-01 - 2025-10-15	24	0	0	11,70833333		0	0		0	0				7	0	0	9,714285714		17	0	0	12,52941176	
каракамыш ташкент на карте	2025-01-01 - 2025-10-15	24	0	0	6		0	0		0	0				24	0	0	6		0	0			
luna park	2025-01-01 - 2025-10-15	24	0	0	8,791666667		0	0		0	0				20	0	0	8,3		4	0	0	11,25	
луна парк ташкент	2025-01-01 - 2025-10-15	24	1	4,166666667	9,875	11	0	0		0	0				18	0	0	9,5		6	1	16,66666667	11	11
улица шахрисабз в ташкенте	2025-01-01 - 2025-10-15	24	0	0	5,083333333		0	0		2	0	0	3		22	0	0	5,272727273		0	0			
eski toshmi	2025-01-01 - 2025-10-15	24	0	0	8,416666667		0	0		0	0				18	0	0	7,388888889		6	0	0	11,5	
gold step invest	2025-01-01 - 2025-10-15	23	0	0	12,82608696		0	0		0	0				1	0	0	10		22	0	0	12,95454545	
ташкент алгоритм	2025-01-01 - 2025-10-15	23	0	0	7,52173913		0	0		0	0				23	0	0	7,52173913		0	0			
riviera ул. нодиры, 4, ташкент фото	2025-01-01 - 2025-10-15	23	0	0	9,739130435		0	0		0	0				16	0	0	9,125		7	0	0	11,14285714	
assalom dostlik	2025-01-01 - 2025-10-15	22	0	0	8,727272727		0	0		0	0				21	0	0	8,571428571		1	0	0	12	
проспект амира темура ташкент	2025-01-01 - 2025-10-15	22	0	0	5,227272727		0	0		3	0	0	3		18	0	0	5,277777778		1	0	0	11	
махтумкули ташкент	2025-01-01 - 2025-10-15	22	0	0	6,454545455		0	0		0	0				21	0	0	6,238095238		1	0	0	11	
qushbegi	2025-01-01 - 2025-10-15	22	0	0	3,5		0	0		11	0	0	3		11	0	0	4		0	0			
vertualka	2025-01-01 - 2025-10-15	22	5	22,72727273	4,363636364	2,8	3	0	0	11	4	36,36363636	2,545454545	2,5	6	1	16,66666667	6	4	2	0	0	14,5	
ташморе	2025-01-01 - 2025-10-15	22	0	0	12		0	0		0	0				4	0	0	9,75		18	0	0	12,5	
чигатой	2025-01-01 - 2025-10-15	22	0	0	9		0	0		0	0				18	0	0	8,5		4	0	0	11,25	
the banya ташкент	2025-01-01 - 2025-10-15	22	0	0	10		0	0		0	0				15	0	0	9,4		7	0	0	11,28571429	
ташкент максим горький	2025-01-01 - 2025-10-15	22	0	0	8,363636364		0	0		0	0				19	0	0	7,736842105		3	0	0	12,33333333	
the баня ташкент	2025-01-01 - 2025-10-15	21	0	0	9,619047619		0	0		0	0				13	0	0	8,538461538		8	0	0	11,375	
панорама	2025-01-01 - 2025-10-15	21	1	4,761904762	6,285714286	3	0	0		3	1	33,33333333	3	3	16	0	0	6,25		2	0	0	11,5	
караташ ташкент	2025-01-01 - 2025-10-15	21	1	4,761904762	4,285714286	5	0	0		8	0	0	3		13	1	7,692307692	5,076923077	5	0	0			
рынок чорсу в ташкенте на карте	2025-01-01 - 2025-10-15	21	0	0	10,52380952		0	0		0	0				10	0	0	9		11	0	0	11,90909091	
отель ибис ташкент	2025-01-01 - 2025-10-15	21	6	28,57142857	4,428571429	2,666666667	0	0		10	5	50	2,4	2,4	11	1	9,090909091	6,272727273	4	0	0			
бурбон ресторан в ташкенте	2025-01-01 - 2025-10-15	21	0	0	10,76190476		0	0		0	0				7	0	0	9		14	0	0	11,64285714	
ташкент панорама улиц	2025-01-01 - 2025-10-15	21	1	4,761904762	3	3	0	0		15	1	6,666666667	2,6	3	6	0	0	4		0	0			
парус ташкент	2025-01-01 - 2025-10-15	20	0	0	10,2		0	0		0	0				11	0	0	9,181818182		9	0	0	11,44444444	
тц парус ташкент	2025-01-01 - 2025-10-15	20	0	0	9,95		0	0		0	0				12	0	0	9,083333333		8	0	0	11,25	
эко парк ташкент	2025-01-01 - 2025-10-15	20	0	0	10,8		0	0		0	0				7	0	0	8,714285714		13	0	0	11,92307692	
миллий (ташкент, узбекистан)	2025-01-01 - 2025-10-15	20	2	10	8,3	8,5	0	0		0	0				18	2	11,11111111	8	8,5	2	0	0	11	
ташморе в узбекистане фото	2025-01-01 - 2025-10-15	20	0	0	11,1		0	0		0	0				4	0	0	8,25		16	0	0	11,8125	
zohid kebab	2025-01-01 - 2025-10-15	20	0	0	10,35		0	0		0	0				11	0	0	9,454545455		9	0	0	11,44444444	
улицы узбекистана	2025-01-01 - 2025-10-15	20	0	0	10,7		0	0		0	0				6	0	0	9,333333333		14	0	0	11,28571429	
стадион миллий ташкент	2025-01-01 - 2025-10-15	20	0	0	11,25		0	0		0	0				6	0	0	9,5		14	0	0	12	
bourbon ул. таллимаржон, 135 фото	2025-01-01 - 2025-10-15	20	0	0	10,05		0	0		0	0				13	0	0	9,461538462		7	0	0	11,14285714	
meros nrg	2025-01-01 - 2025-10-15	20	0	0	6,85		0	0		0	0				19	0	0	6,631578947		1	0	0	11	
минг урик в ташкенте музей	2025-01-01 - 2025-10-15	20	0	0	11,9		0	0		0	0				1	0	0	9		19	0	0	12,05263158	
luna park ташкент	2025-01-01 - 2025-10-15	20	0	0	9,3		0	0		0	0				15	0	0	8,733333333		5	0	0	11	
хадра ташкент	2025-01-01 - 2025-10-15	19	2	10,52631579	4,473684211	4,5	0	0		2	0	0	3		17	2	11,76470588	4,647058824	4,5	0	0			
ташкент с высоты птичьего полета	2025-01-01 - 2025-10-15	19	0	0	5,052631579		0	0		4	0	0	2,75		15	0	0	5,666666667		0	0			
улица махтумкули	2025-01-01 - 2025-10-15	19	0	0	7,421052632		0	0		0	0				15	0	0	6,133333333		4	0	0	12,25	
панорама ташкента	2025-01-01 - 2025-10-15	19	1	5,263157895	3,263157895	3	0	0		14	1	7,142857143	2,642857143	3	5	0	0	5		0	0			
crown zamon	2025-01-01 - 2025-10-15	19	1	5,263157895	5,789473684	5	0	0		0	0				19	1	5,263157895	5,789473684	5	0	0			
малика базар в ташкенте	2025-01-01 - 2025-10-15	19	0	0	11,31578947		0	0		0	0				6	0	0	9,5		13	0	0	12,15384615	
ибис ташкент	2025-01-01 - 2025-10-15	19	2	10,52631579	5,578947368	6	0	0		5	0	0	3		13	2	15,38461538	6,153846154	6	1	0	0	11	
roxat kurug	2025-01-01 - 2025-10-15	18	2	11,11111111	2,444444444	2	1	0	0	17	2	11,76470588	2,529411765	2	0	0				0	0			
ц1 ташкент на карте	2025-01-01 - 2025-10-15	18	2	11,11111111	3,555555556	4,5	0	0		10	0	0	2,9		8	2	25	4,375	4,5	0	0			
старое ташми	2025-01-01 - 2025-10-15	18	0	0	5,555555556		1	0	0	3	0	0	2,666666667		14	0	0	6,5		0	0			
зохид кабоб	2025-01-01 - 2025-10-15	18	0	0	11,55555556		0	0		0	0				5	0	0	9,6		13	0	0	12,30769231	
южный вокзал	2025-01-01 - 2025-10-15	18	0	0	10,27777778		0	0		0	0				8	0	0	9,125		10	0	0	11,2	
аэропорт наманган фото	2025-01-01 - 2025-10-15	18	0	0	7,777777778		0	0		0	0				17	0	0	7,588235294		1	0	0	11	
наманган аэропорт карта	2025-01-01 - 2025-10-15	18	0	0	8,888888889		0	0		0	0				16	0	0	8,5625		2	0	0	11,5	
кумтепа базар	2025-01-01 - 2025-10-15	18	0	0	8,111111111		0	0		0	0				17	0	0	7,941176471		1	0	0	11	
nirvana luxury residence	2025-01-01 - 2025-10-15	18	0	0	9,666666667		0	0		0	0				13	0	0	9,076923077		5	0	0	11,2	
тузель ташкент на карте	2025-01-01 - 2025-10-15	18	0	0	6,944444444		0	0		0	0				18	0	0	6,944444444		0	0			
сергели ярмарка	2025-01-01 - 2025-10-15	18	1	5,555555556	5,222222222	4	0	0		0	0				18	1	5,555555556	5,222222222	4	0	0			
зохид кебаб	2025-01-01 - 2025-10-15	18	0	0	11,22222222		0	0		0	0				5	0	0	9,6		13	0	0	11,84615385	
государственный музей истории темуридов просп. амира темура, 1 фото	2025-01-01 - 2025-10-15	18	0	0	11,5		0	0		0	0				4	0	0	8,5		14	0	0	12,35714286	
метро космонавтов ташкент	2025-01-01 - 2025-10-15	18	0	0	12,66666667		0	0		0	0				0	0				18	0	0	12,66666667	
elephant кафе ташкент	2025-01-01 - 2025-10-15	18	0	0	10,88888889		0	0		0	0				7	0	0	9,571428571		11	0	0	11,72727273	
катадж	2025-01-01 - 2025-10-15	18	0	0	4,388888889		0	0		4	0	0	3		14	0	0	4,785714286		0	0			
японский сад просп. амира темура, 107а фото	2025-01-01 - 2025-10-15	17	0	0	11,70588235		0	0		0	0				2	0	0	10		15	0	0	11,93333333	
atlas mebel	2025-01-01 - 2025-10-15	17	2	11,76470588	9,647058824	9	0	0		0	0				15	2	13,33333333	9,466666667	9	2	0	0	11	
челанзар	2025-01-01 - 2025-10-15	17	0	0	9,294117647		0	0		0	0				14	0	0	8,785714286		3	0	0	11,66666667	
дворец авиастроителей	2025-01-01 - 2025-10-15	17	0	0	5,823529412		0	0		1	0	0	3		16	0	0	6		0	0			
самарканд дарвоза	2025-01-01 - 2025-10-15	17	0	0	12,82352941		0	0		0	0				0	0				17	0	0	12,82352941	
ташкент карасу	2025-01-01 - 2025-10-15	17	0	0	8,058823529		0	0		0	0				16	0	0	7,875		1	0	0	11	
дворец форумов ташкент	2025-01-01 - 2025-10-15	17	0	0	9,647058824		0	0		0	0				12	0	0	8,916666667		5	0	0	11,4	
янги шахар	2025-01-01 - 2025-10-15	17	2	11,76470588	5,058823529	5	0	0		0	0				17	2	11,76470588	5,058823529	5	0	0			
